code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,clicks_28d,dias_activos_28d,promedio_evaluaciones,evaluaciones_entregadas,fuente,educacion_ordinal,edad_ordinal,imd_midpoint,aprobo,resultado_ordinal
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,303.0,7.0,82.0,5.0,OULAD,3,2,95.0,1,2
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,403.0,12.0,66.4,5.0,OULAD,3,1,25.0,1,2
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,179.0,6.0,,,OULAD,2,1,35.0,0,0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,325.0,17.0,76.0,5.0,OULAD,2,1,55.0,1,2
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,272.0,16.0,54.4,5.0,OULAD,1,0,55.0,1,2
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,450.0,23.0,68.0,5.0,OULAD,2,1,85.0,1,2
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,319.0,10.0,68.0,5.0,OULAD,3,0,35.0,1,2
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,393.0,16.0,72.4,5.0,OULAD,2,0,95.0,1,2
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,355.0,16.0,71.4,5.0,OULAD,2,0,75.0,1,2
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,382.0,14.0,78.0,5.0,OULAD,4,2,,1,2
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,376.0,19.0,74.0,5.0,OULAD,1,1,75.0,1,2
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,314.0,15.0,73.2,5.0,OULAD,2,0,25.0,1,2
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,371.0,11.0,78.6,5.0,OULAD,1,1,65.0,1,2
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,384.0,12.0,76.0,5.0,OULAD,3,0,55.0,1,2
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,469.0,21.0,71.6,5.0,OULAD,1,1,45.0,1,2
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,91.0,5.0,67.0,2.0,OULAD,2,0,75.0,0,0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,310.0,11.0,55.6,5.0,OULAD,2,1,65.0,1,2
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,855.0,23.0,80.4,5.0,OULAD,3,1,,1,2
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,28.0,4.0,48.5,4.0,OULAD,2,1,15.0,0,1
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,492.0,21.0,66.0,5.0,OULAD,2,1,35.0,1,2
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,226.0,20.0,70.4,5.0,OULAD,2,0,35.0,1,2
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,255.0,15.0,70.8,5.0,OULAD,3,0,5.0,1,2
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,205.0,13.0,74.0,1.0,OULAD,1,1,75.0,0,0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,619.0,21.0,60.6,5.0,OULAD,1,1,75.0,1,2
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,107.0,12.0,68.4,5.0,OULAD,2,0,25.0,1,2
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,1129.0,19.0,72.6,5.0,OULAD,1,1,85.0,1,2
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,416.0,23.0,78.0,5.0,OULAD,2,0,35.0,1,2
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,338.0,11.0,76.6,5.0,OULAD,3,0,65.0,1,2
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,734.0,21.0,79.6,5.0,OULAD,4,1,,1,2
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,47.0,3.0,60.0,3.0,OULAD,3,1,85.0,0,0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,169.0,6.0,53.4,5.0,OULAD,1,0,25.0,1,2
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,164.0,11.0,63.4,5.0,OULAD,3,1,85.0,1,2
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,397.0,17.0,81.0,3.0,OULAD,3,1,95.0,1,2
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,973.0,24.0,77.6,5.0,OULAD,1,1,65.0,1,2
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,315.0,8.0,71.8,5.0,OULAD,4,1,,1,2
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,201.0,15.0,72.8,5.0,OULAD,3,1,65.0,1,2
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,455.0,18.0,62.4,5.0,OULAD,3,0,5.0,1,2
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,195.0,12.0,74.2,5.0,OULAD,2,1,75.0,1,2
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,51.0,6.0,61.8,5.0,OULAD,3,0,35.0,1,2
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,634.0,18.0,71.4,5.0,OULAD,2,1,45.0,1,2
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,256.0,15.0,69.6,5.0,OULAD,2,0,45.0,1,2
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,331.0,22.0,81.0,3.0,OULAD,2,0,55.0,0,0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,102.0,5.0,67.4,5.0,OULAD,1,1,85.0,1,2
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,515.0,15.0,84.4,5.0,OULAD,2,1,95.0,1,3
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,55.0,9.0,,,OULAD,1,0,25.0,0,0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,204.0,14.0,61.5,2.0,OULAD,1,1,95.0,0,0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,738.0,20.0,80.2,5.0,OULAD,2,1,45.0,1,2
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,474.0,14.0,72.6,5.0,OULAD,2,0,35.0,1,2
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,7.0,3.0,45.0,1.0,OULAD,2,0,95.0,0,0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,272.0,10.0,73.6,5.0,OULAD,2,1,55.0,1,2
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,960.0,27.0,68.8,5.0,OULAD,3,1,85.0,1,2
