fila_original,real,prediccion,error
0,1,1,False
3,0,0,False
5,0,0,False
8,1,1,False
24,1,1,False
28,1,1,False
29,0,0,False
41,0,0,False
43,0,0,False
47,0,0,False
52,1,0,True
54,1,1,False
56,1,1,False
59,0,0,False
68,1,1,False
70,1,1,False
72,1,1,False
75,0,0,False
82,1,1,False
88,1,1,False
94,1,1,False
101,1,1,False
104,0,0,False
106,0,0,False
121,1,1,False
122,0,0,False
123,1,1,False
129,1,1,False
139,1,1,False
144,0,1,True
150,0,0,False
166,0,0,False
169,1,1,False
174,0,1,True
176,0,0,False
177,1,1,False
186,0,0,False
189,1,0,True
195,1,1,False
199,1,1,False
200,0,0,False
203,1,1,False
205,1,1,False
206,0,0,False
208,0,0,False
210,0,0,False
214,0,0,False
224,0,0,False
228,0,0,False
245,1,1,False
252,0,0,False
256,1,1,False
257,1,1,False
262,1,1,False
267,1,1,False
268,1,1,False
276,1,1,False
285,1,1,False
295,1,1,False
296,1,1,False
297,1,1,False
300,1,1,False
304,1,1,False
318,1,1,False
323,1,1,False
331,1,1,False
339,1,1,False
341,1,1,False
348,1,1,False
349,1,1,False
