fila_original,particion
1,entrenamiento
2,entrenamiento
4,entrenamiento
7,entrenamiento
13,entrenamiento
14,entrenamiento
16,entrenamiento
17,entrenamiento
19,entrenamiento
20,entrenamiento
22,entrenamiento
25,entrenamiento
26,entrenamiento
27,entrenamiento
30,entrenamiento
31,entrenamiento
32,entrenamiento
34,entrenamiento
35,entrenamiento
36,entrenamiento
38,entrenamiento
40,entrenamiento
42,entrenamiento
46,entrenamiento
49,entrenamiento
50,entrenamiento
51,entrenamiento
53,entrenamiento
55,entrenamiento
57,entrenamiento
58,entrenamiento
61,entrenamiento
63,entrenamiento
65,entrenamiento
66,entrenamiento
67,entrenamiento
69,entrenamiento
71,entrenamiento
73,entrenamiento
74,entrenamiento
76,entrenamiento
78,entrenamiento
79,entrenamiento
80,entrenamiento
81,entrenamiento
83,entrenamiento
84,entrenamiento
85,entrenamiento
87,entrenamiento
89,entrenamiento
91,entrenamiento
92,entrenamiento
93,entrenamiento
95,entrenamiento
96,entrenamiento
97,entrenamiento
100,entrenamiento
102,entrenamiento
103,entrenamiento
107,entrenamiento
109,entrenamiento
110,entrenamiento
111,entrenamiento
112,entrenamiento
113,entrenamiento
114,entrenamiento
115,entrenamiento
116,entrenamiento
117,entrenamiento
119,entrenamiento
120,entrenamiento
125,entrenamiento
126,entrenamiento
127,entrenamiento
130,entrenamiento
131,entrenamiento
132,entrenamiento
133,entrenamiento
134,entrenamiento
136,entrenamiento
137,entrenamiento
138,entrenamiento
140,entrenamiento
141,entrenamiento
143,entrenamiento
145,entrenamiento
146,entrenamiento
147,entrenamiento
148,entrenamiento
149,entrenamiento
151,entrenamiento
152,entrenamiento
153,entrenamiento
154,entrenamiento
155,entrenamiento
156,entrenamiento
158,entrenamiento
159,entrenamiento
161,entrenamiento
162,entrenamiento
164,entrenamiento
165,entrenamiento
167,entrenamiento
168,entrenamiento
171,entrenamiento
172,entrenamiento
173,entrenamiento
175,entrenamiento
179,entrenamiento
180,entrenamiento
181,entrenamiento
182,entrenamiento
183,entrenamiento
184,entrenamiento
185,entrenamiento
188,entrenamiento
191,entrenamiento
192,entrenamiento
193,entrenamiento
196,entrenamiento
198,entrenamiento
204,entrenamiento
207,entrenamiento
211,entrenamiento
212,entrenamiento
215,entrenamiento
217,entrenamiento
218,entrenamiento
219,entrenamiento
221,entrenamiento
222,entrenamiento
223,entrenamiento
225,entrenamiento
226,entrenamiento
229,entrenamiento
230,entrenamiento
231,entrenamiento
232,entrenamiento
233,entrenamiento
235,entrenamiento
236,entrenamiento
237,entrenamiento
238,entrenamiento
239,entrenamiento
240,entrenamiento
242,entrenamiento
244,entrenamiento
246,entrenamiento
247,entrenamiento
249,entrenamiento
250,entrenamiento
251,entrenamiento
253,entrenamiento
254,entrenamiento
255,entrenamiento
258,entrenamiento
260,entrenamiento
261,entrenamiento
263,entrenamiento
266,entrenamiento
269,entrenamiento
273,entrenamiento
275,entrenamiento
277,entrenamiento
278,entrenamiento
281,entrenamiento
282,entrenamiento
283,entrenamiento
284,entrenamiento
287,entrenamiento
288,entrenamiento
289,entrenamiento
290,entrenamiento
291,entrenamiento
292,entrenamiento
293,entrenamiento
294,entrenamiento
298,entrenamiento
299,entrenamiento
301,entrenamiento
302,entrenamiento
303,entrenamiento
305,entrenamiento
306,entrenamiento
307,entrenamiento
308,entrenamiento
309,entrenamiento
310,entrenamiento
312,entrenamiento
314,entrenamiento
315,entrenamiento
316,entrenamiento
319,entrenamiento
322,entrenamiento
325,entrenamiento
327,entrenamiento
329,entrenamiento
330,entrenamiento
332,entrenamiento
333,entrenamiento
336,entrenamiento
337,entrenamiento
338,entrenamiento
340,entrenamiento
342,entrenamiento
343,entrenamiento
344,entrenamiento
345,entrenamiento
347,entrenamiento
350,entrenamiento
6,validacion
9,validacion
10,validacion
11,validacion
12,validacion
15,validacion
18,validacion
21,validacion
23,validacion
33,validacion
37,validacion
39,validacion
44,validacion
45,validacion
48,validacion
60,validacion
62,validacion
64,validacion
77,validacion
86,validacion
90,validacion
98,validacion
99,validacion
105,validacion
108,validacion
118,validacion
124,validacion
128,validacion
135,validacion
142,validacion
157,validacion
160,validacion
163,validacion
170,validacion
178,validacion
187,validacion
190,validacion
194,validacion
197,validacion
201,validacion
202,validacion
209,validacion
213,validacion
216,validacion
220,validacion
227,validacion
234,validacion
241,validacion
243,validacion
259,validacion
264,validacion
265,validacion
270,validacion
271,validacion
272,validacion
274,validacion
279,validacion
280,validacion
286,validacion
311,validacion
313,validacion
317,validacion
320,validacion
321,validacion
324,validacion
326,validacion
328,validacion
334,validacion
335,validacion
346,validacion
0,prueba
3,prueba
5,prueba
8,prueba
24,prueba
28,prueba
29,prueba
41,prueba
43,prueba
47,prueba
52,prueba
54,prueba
56,prueba
59,prueba
68,prueba
70,prueba
72,prueba
75,prueba
82,prueba
88,prueba
94,prueba
101,prueba
104,prueba
106,prueba
121,prueba
122,prueba
123,prueba
129,prueba
139,prueba
144,prueba
150,prueba
166,prueba
169,prueba
174,prueba
176,prueba
177,prueba
186,prueba
189,prueba
195,prueba
199,prueba
200,prueba
203,prueba
205,prueba
206,prueba
208,prueba
210,prueba
214,prueba
224,prueba
228,prueba
245,prueba
252,prueba
256,prueba
257,prueba
262,prueba
267,prueba
268,prueba
276,prueba
285,prueba
295,prueba
296,prueba
297,prueba
300,prueba
304,prueba
318,prueba
323,prueba
331,prueba
339,prueba
341,prueba
348,prueba
349,prueba
