modelo,repeticion,ajuste_s,inferencia_ms_fila,tamano_kib,accuracy,f1_macro,precision_macro,recall_b,recall_g,roc_auc
RF_150,1,0.11128108400000025,0.0766830285714258,464.001953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9822222222222222
RF_50,1,0.03615608399999992,0.03364345714285439,123.220703125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9768888888888889
GB_100,1,0.105966542,0.012722628571428172,84.9228515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9715555555555555
GB_50,1,0.05165512500000036,0.01178899285714241,49.6103515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9733333333333333
SVM_PCA95,1,0.003506666999999908,0.014846721428574128,22.2626953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9946666666666667
SVM,1,0.0031510409999997435,0.015128571428573474,20.3095703125,0.9571428571428572,0.9529042386185244,0.957427536231884,0.92,0.9777777777777777,0.9955555555555556
GB_100,2,0.1040562089999999,0.012288992857142514,84.9228515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9715555555555555
SVM_PCA95,2,0.0034928330000001395,0.014661907142851252,22.2626953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9946666666666667
GB_50,2,0.05399137499999984,0.011553578571429515,49.6103515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9733333333333333
RF_50,2,0.036916249999999984,0.0334922571428515,123.220703125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9768888888888889
SVM,2,0.0029960829999993166,0.013597914285704402,20.3095703125,0.9571428571428572,0.9529042386185244,0.957427536231884,0.92,0.9777777777777777,0.9955555555555556
RF_150,2,0.11166300000000007,0.07969285714286249,464.001953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9822222222222222
RF_150,3,0.11201283399999973,0.07646339285714328,464.001953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9822222222222222
SVM,3,0.0030292499999999833,0.013426485714283589,20.3095703125,0.9571428571428572,0.9529042386185244,0.957427536231884,0.92,0.9777777777777777,0.9955555555555556
RF_50,3,0.03675937499999993,0.03461487857143096,123.220703125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9768888888888889
GB_100,3,0.10388370800000057,0.011976185714284477,84.9228515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9715555555555555
GB_50,3,0.06531616599999968,0.011609521428569889,49.6103515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9733333333333333
SVM_PCA95,3,0.003947874999999712,0.015944642857140017,22.2626953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9946666666666667
