id,particion
0,train
1,train
2,train
3,train
4,valid
5,train
6,valid
7,valid
8,valid
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,test
17,test
18,train
19,train
20,train
21,train
22,train
23,train
24,valid
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,valid
33,train
34,train
35,train
36,valid
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,test
45,train
46,train
47,train
48,test
49,train
50,valid
51,train
52,valid
53,train
54,train
55,train
56,train
57,train
58,train
59,test
60,train
61,train
62,valid
63,train
64,train
65,train
66,train
67,train
68,train
69,valid
70,test
71,train
72,train
73,train
74,train
75,valid
76,train
77,test
78,train
79,test
80,train
81,valid
82,train
83,test
84,train
85,train
86,train
87,train
88,train
89,valid
90,train
91,train
92,test
93,train
94,train
95,train
96,test
97,train
98,valid
99,valid
100,train
101,train
102,train
104,train
105,train
106,train
107,valid
108,test
109,train
110,valid
111,train
112,test
113,train
114,train
115,train
116,train
117,valid
118,test
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,test
130,train
131,train
132,train
133,test
134,train
135,train
136,train
137,valid
138,train
139,test
140,valid
141,train
142,valid
143,valid
144,train
145,valid
146,train
147,train
148,train
149,train
150,train
151,train
152,test
153,valid
155,valid
156,train
157,test
158,test
159,valid
160,valid
161,valid
162,train
163,test
164,test
165,train
166,train
167,train
168,train
169,train
170,test
171,valid
172,train
173,train
174,train
175,train
176,test
177,train
178,train
179,valid
180,valid
181,train
182,train
183,train
184,train
185,train
186,train
187,valid
188,train
189,train
190,train
191,train
192,train
193,train
194,train
195,test
196,valid
197,train
198,train
199,test
200,valid
201,train
202,train
203,train
204,train
205,train
206,train
208,test
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,test
218,train
219,train
220,train
221,train
222,train
224,train
225,train
226,train
227,train
228,valid
229,valid
230,train
231,train
232,test
233,train
234,train
235,train
236,train
237,test
238,train
239,train
240,train
241,test
242,test
243,test
244,train
245,valid
246,train
247,valid
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,train
258,valid
259,train
260,train
261,train
262,train
263,train
264,test
265,train
