clase,precision,recall,f1,soporte,errores
T-shirt/top,0.8487394957983193,0.909,0.8778367938194109,1000,91
Trouser,0.9850894632206759,0.991,0.9880358923230309,1000,9
Pullover,0.8886576482830385,0.854,0.8709841917389087,1000,146
Dress,0.9181459566074951,0.931,0.9245283018867925,1000,69
Coat,0.8608445297504799,0.897,0.8785504407443683,1000,103
Sandal,0.9898785425101214,0.978,0.9839034205231388,1000,22
Shirt,0.8070953436807096,0.728,0.7655099894847529,1000,272
Sneaker,0.9278350515463918,0.99,0.9579100145137881,1000,10
Bag,0.982982982982983,0.982,0.9824912456228114,1000,18
Ankle boot,0.988421052631579,0.939,0.963076923076923,1000,61
