clase,precision,recall,f1,soporte,errores
T-shirt/top,0.7421944692239072,0.832,0.7845355964167845,1000,168
Trouser,0.9937238493723849,0.95,0.9713701431492843,1000,50
Pullover,0.7840909090909091,0.828,0.8054474708171206,1000,172
Dress,0.7969034608378871,0.875,0.8341277407054337,1000,125
Coat,0.7419038272816487,0.756,0.7488855869242199,1000,244
Sandal,0.9708939708939709,0.934,0.9520897043832823,1000,66
Shirt,0.649932157394844,0.479,0.5515256188831318,1000,521
Sneaker,0.8901098901098901,0.972,0.9292543021032504,1000,28
Bag,0.958502024291498,0.947,0.9527162977867203,1000,53
Ankle boot,0.9577754891864058,0.93,0.943683409436834,1000,70
