clase,precision,recall,f1,soporte,errores
T-shirt/top,0.7736339982653946,0.892,0.828611240130051,1000,108
Trouser,0.9866529774127311,0.961,0.9736575481256332,1000,39
Pullover,0.7635327635327636,0.804,0.7832440331222601,1000,196
Dress,0.8794820717131474,0.883,0.8812375249500998,1000,117
Coat,0.8317256162915327,0.776,0.8028970512157269,1000,224
Sandal,0.9666329625884732,0.956,0.9612870789341378,1000,44
Shirt,0.7331812998859749,0.643,0.6851358550879062,1000,357
Sneaker,0.9121813031161473,0.966,0.9383195726080622,1000,34
Bag,0.9618856569709128,0.959,0.9604406609914873,1000,41
Ankle boot,0.9656607700312175,0.928,0.9464558898521163,1000,72
