etapa,candidato,accuracy,recall,fpr,selection_rate,recall_gap,fpr_gap,selection_gap
validacion,regla_no_predictiva,0.75,0.828125,0.3392857142857143,0.6,0.11507936507936511,0.13541666666666669,0.12895927601809964
validacion,logistica_0.50,0.8,0.8125,0.21428571428571427,0.5333333333333333,0.0793650793650793,0.13541666666666669,0.11085972850678733
validacion,arbol_0.50,0.7666666666666667,0.78125,0.25,0.5333333333333333,0.261904761904762,0.14583333333333331,0.21266968325791857
validacion,logistica_0.56,0.8083333333333333,0.8125,0.19642857142857142,0.525,0.0793650793650793,0.09375,0.09162895927601805
validacion,threshold_optimizer_eo,0.7666666666666667,0.75,0.21428571428571427,0.5,0.12698412698412698,0.010416666666666657,0.0678733031674208
prueba,regla_no_predictiva,0.7,0.75,0.36764705882352944,0.5875,0.010915994304698584,0.009615384615384637,0.08961235106561494
prueba,logistica_0.50,0.71875,0.717391304347826,0.27941176470588236,0.53125,0.13763644992880875,0.125,0.23242154723946967
prueba,arbol_0.50,0.70625,0.717391304347826,0.3088235294117647,0.54375,0.1813004271476032,0.16826923076923078,0.26631985232421546
prueba,logistica_0.56,0.74375,0.6956521739130435,0.19117647058823528,0.48125,0.13478879924062648,0.07692307692307693,0.23107904010740055
prueba,threshold_optimizer_eo,0.7,0.8043478260869565,0.4411764705882353,0.65,0.06929283341243475,0.16826923076923078,0.00939754992448405
