n,archivo,prueba,area,comprueba,por_que
1,test_data_contract.py,test_dataset_contract_and_binary_target,Datos,"Hay 4424 estudiantes, cada uno con identificador único y objetivo binario.",Contrato mínimo antes de cualquier análisis.
2,test_data_contract.py,test_contract_rejects_nulls_and_impossible_approvals,Datos,El contrato rechaza nulos y más unidades aprobadas que inscritas.,Un dato imposible en origen produciría prioridades absurdas.
3,test_data_contract.py,test_model_features_exclude_sensitive_and_second_semester,Datos,El modelo no usa variables sensibles ni del 2.º semestre.,Evita la discriminación directa y la fuga de información del futuro.
4,test_data_contract.py,test_split_is_disjoint_complete_and_stratified,Datos,"Entrenamiento, validación y prueba no se solapan, cubren todo y mantienen la tasa de abandono.",Base de una evaluación honesta.
5,test_data_contract.py,test_rule_baseline_prioritizes_failed_units_and_unpaid_tuition,Baseline,La regla da más prioridad a quien no aprobó unidades o no pagó la matrícula.,El baseline debe reflejar el criterio que usaría una persona sin modelo.
6,test_model.py,test_model_outputs_valid_probabilities,Modelo,El modelo devuelve una probabilidad entre 0 y 1 por estudiante.,La lista se ordena por esa probabilidad.
7,test_model.py,test_scaler_is_fitted_only_on_training_data,Modelo,La estandarización aprende solo con entrenamiento.,Evita fuga de validación o prueba al modelo.
8,test_model.py,test_model_ignores_sensitive_columns_even_if_they_change,Equidad,Cambiar género o edad no cambia el riesgo estimado.,Prueba directa de que el modelo no usa atributos sensibles.
9,test_model.py,test_contributions_add_up_to_the_logit,Explicación,Las contribuciones por variable reconstruyen exactamente la probabilidad.,La explicación que ve la coordinación es fiel al modelo.
10,test_model.py,test_top_k_selects_exactly_capacity_and_highest_scores,Priorización,La selección toma exactamente los cupos y a los de mayor riesgo.,El DSS no puede ofrecer más tutorías de las disponibles.
11,test_model.py,test_capacity_metrics_match_hand_calculation,Evaluación,Recall y precisión a capacidad coinciden con un cálculo manual.,Son las métricas de éxito del proyecto.
12,test_model.py,test_choice_ignores_random_reference_and_uses_recall_then_ap,Evaluación,La regla de elección ignora el azar y usa recall y luego average precision.,La decisión se toma con una regla escrita antes de la prueba.
13,test_dss.py,test_support_rules_are_explicit_and_ordered[deuda],Reglas DSS,Con deuda se sugiere orientación financiera.,Lo financiero bloquea la continuidad y va primero.
