grupo,n,abandonos,tasa_abandono,seleccion,recall_capacidad,precision_capacidad,n_suficiente,dimension,alternativa
hombre,228,103,0.4517543859649123,0.24561403508771928,0.5242718446601942,0.9642857142857143,True,genero,logistica
mujer,436,110,0.25229357798165136,0.10091743119266056,0.39090909090909093,0.9772727272727273,True,genero,logistica
21-25,116,44,0.3793103448275862,0.1896551724137931,0.4772727272727273,0.9545454545454546,True,edad,logistica
>25,165,106,0.6424242424242425,0.3515151515151515,0.5471698113207547,1.0,True,edad,logistica
≤20,383,63,0.16449086161879894,0.05221932114882506,0.2857142857142857,0.9,True,edad,logistica
becario,182,27,0.14835164835164835,0.04945054945054945,0.3333333333333333,1.0,False,beca,logistica
sin beca,482,186,0.38589211618257263,0.1887966804979253,0.4731182795698925,0.967032967032967,True,beca,logistica
hombre | 21-25,53,25,0.4716981132075472,0.3018867924528302,0.6,0.9375,False,genero×edad,logistica
hombre | >25,74,57,0.7702702702702703,0.44594594594594594,0.5789473684210527,1.0,True,genero×edad,logistica
hombre | ≤20,101,21,0.2079207920792079,0.06930693069306931,0.2857142857142857,0.8571428571428571,False,genero×edad,logistica
mujer | 21-25,63,19,0.30158730158730157,0.09523809523809523,0.3157894736842105,1.0,False,genero×edad,logistica
mujer | >25,91,49,0.5384615384615384,0.27472527472527475,0.5102040816326531,1.0,True,genero×edad,logistica
mujer | ≤20,282,42,0.14893617021276595,0.04609929078014184,0.2857142857142857,0.9230769230769231,True,genero×edad,logistica
hombre,228,103,0.4517543859649123,0.20614035087719298,0.3786407766990291,0.8297872340425532,True,genero,reglas
mujer,436,110,0.25229357798165136,0.12155963302752294,0.4,0.8301886792452831,True,genero,reglas
21-25,116,44,0.3793103448275862,0.22413793103448276,0.5,0.8461538461538461,True,edad,reglas
>25,165,106,0.6424242424242425,0.2727272727272727,0.42452830188679247,1.0,True,edad,reglas
≤20,383,63,0.16449086161879894,0.07571801566579635,0.25396825396825395,0.5517241379310345,True,edad,reglas
becario,182,27,0.14835164835164835,0.06043956043956044,0.2222222222222222,0.5454545454545454,False,beca,reglas
sin beca,482,186,0.38589211618257263,0.18464730290456433,0.41397849462365593,0.8651685393258427,True,beca,reglas
hombre | 21-25,53,25,0.4716981132075472,0.2830188679245283,0.52,0.8666666666666667,False,genero×edad,reglas
hombre | >25,74,57,0.7702702702702703,0.2972972972972973,0.38596491228070173,1.0,True,genero×edad,reglas
hombre | ≤20,101,21,0.2079207920792079,0.09900990099009901,0.19047619047619047,0.4,False,genero×edad,reglas
mujer | 21-25,63,19,0.30158730158730157,0.1746031746031746,0.47368421052631576,0.8181818181818182,False,genero×edad,reglas
mujer | >25,91,49,0.5384615384615384,0.25274725274725274,0.46938775510204084,1.0,True,genero×edad,reglas
mujer | ≤20,282,42,0.14893617021276595,0.0673758865248227,0.2857142857142857,0.631578947368421,True,genero×edad,reglas
hombre,228,103,0.4517543859649123,0.22807017543859648,0.46601941747572817,0.9230769230769231,True,genero,hibrido_rangos
mujer,436,110,0.25229357798165136,0.11009174311926606,0.41818181818181815,0.9583333333333334,True,genero,hibrido_rangos
21-25,116,44,0.3793103448275862,0.20689655172413793,0.5,0.9166666666666666,True,edad,hibrido_rangos
>25,165,106,0.6424242424242425,0.32727272727272727,0.5094339622641509,1.0,True,edad,hibrido_rangos
≤20,383,63,0.16449086161879894,0.057441253263707574,0.2857142857142857,0.8181818181818182,True,edad,hibrido_rangos
becario,182,27,0.14835164835164835,0.04395604395604396,0.2962962962962963,1.0,False,beca,hibrido_rangos
sin beca,482,186,0.38589211618257263,0.1908713692946058,0.46236559139784944,0.9347826086956522,True,beca,hibrido_rangos
hombre | 21-25,53,25,0.4716981132075472,0.3018867924528302,0.6,0.9375,False,genero×edad,hibrido_rangos
hombre | >25,74,57,0.7702702702702703,0.3918918918918919,0.5087719298245614,1.0,True,genero×edad,hibrido_rangos
hombre | ≤20,101,21,0.2079207920792079,0.06930693069306931,0.19047619047619047,0.5714285714285714,False,genero×edad,hibrido_rangos
mujer | 21-25,63,19,0.30158730158730157,0.12698412698412698,0.3684210526315789,0.875,False,genero×edad,hibrido_rangos
mujer | >25,91,49,0.5384615384615384,0.27472527472527475,0.5102040816326531,1.0,True,genero×edad,hibrido_rangos
mujer | ≤20,282,42,0.14893617021276595,0.05319148936170213,0.3333333333333333,0.9333333333333333,True,genero×edad,hibrido_rangos
hombre,228,103,0.4517543859649123,0.2324561403508772,0.42718446601941745,0.8301886792452831,True,genero,logistica_cupos_edad
mujer,436,110,0.25229357798165136,0.10779816513761468,0.39090909090909093,0.9148936170212766,True,genero,logistica_cupos_edad
21-25,116,44,0.3793103448275862,0.1810344827586207,0.45454545454545453,0.9523809523809523,True,edad,logistica_cupos_edad
>25,165,106,0.6424242424242425,0.23636363636363636,0.36792452830188677,1.0,True,edad,logistica_cupos_edad
